DATA_REF_SYNTAX,MODEL_ID,RCM_VERSION_ID,FREQUENCY,VAR_NAME,VERSION_NO,PANELS
CORDEX.output.CAM-44.SMHI.CSIRO-QCCCE-CSIRO-Mk3-6-0.rcp85.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20170508,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.ICHEC-EC-EARTH.historical.r12i1p1,SMHI-RCA4,v1,day,tasmax,v20150522,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.ICHEC-EC-EARTH.rcp26.r12i1p1,SMHI-RCA4,v1,day,tasmax,v20150522,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.ICHEC-EC-EARTH.rcp85.r12i1p1,SMHI-RCA4,v1,day,tasmax,v20150522,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.IPSL-IPSL-CM5A-MR.historical.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20170508,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.IPSL-IPSL-CM5A-MR.rcp85.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20170508,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.MIROC-MIROC5.historical.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20170508,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.MIROC-MIROC5.rcp26.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20170508,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.MIROC-MIROC5.rcp85.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20170508,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.MOHC-HadGEM2-ES.historical.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20141105,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.MOHC-HadGEM2-ES.rcp26.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20170508,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.MOHC-HadGEM2-ES.rcp85.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20141105,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.MPI-M-MPI-ESM-LR.historical.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20141105,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.MPI-M-MPI-ESM-LR.rcp26.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20170508,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.MPI-M-MPI-ESM-LR.rcp85.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20141105,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.NCC-NorESM1-M.historical.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20170508,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.NCC-NorESM1-M.rcp26.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20170508,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.NCC-NorESM1-M.rcp85.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20170508,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.NOAA-GFDL-GFDL-ESM2M.historical.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20170508,NSA,SCA,CAR
CORDEX.output.CAM-44.SMHI.NOAA-GFDL-GFDL-ESM2M.rcp85.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20170508,NSA,SCA,CAR
